Day,Focus,Exercise,Sets
Day 1,Upper,Bench Press,4x6-8
Day 1,Upper,Row (Cable/Barbell),4x8-10
Day 1,Upper,OHP / DB Shoulder Press,3x8-10
Day 1,Upper,Lat Pulldown / Pull-ups,3x8-12
Day 1,Upper,Incline DB Press,3x10-12
Day 1,Upper,Lateral Raise,3x12-15
Day 1,Upper,Triceps Pushdown,3x10-12
Day 1,Upper,Biceps Curl,3x10-12
Day 2,Lower,Squat (Back/Front),4x5-8
Day 2,Lower,Romanian Deadlift,3x6-10
Day 2,Lower,Leg Press / Bulgarian Split Squat,3x10-12
Day 2,Lower,Leg Curl,3x10-12
Day 2,Lower,Calf Raise,4x10-15
Day 2,Lower,Core (Plank),3x45-60s
Day 3,Upper,Bench Press,4x6-8
Day 3,Upper,Row (Cable/Barbell),4x8-10
Day 3,Upper,OHP / DB Shoulder Press,3x8-10
Day 3,Upper,Lat Pulldown / Pull-ups,3x8-12
Day 3,Upper,Incline DB Press,3x10-12
Day 3,Upper,Lateral Raise,3x12-15
Day 3,Upper,Triceps Pushdown,3x10-12
Day 3,Upper,Biceps Curl,3x10-12
Day 4,Lower,Squat (Back/Front),4x5-8
Day 4,Lower,Romanian Deadlift,3x6-10
Day 4,Lower,Leg Press / Bulgarian Split Squat,3x10-12
Day 4,Lower,Leg Curl,3x10-12
Day 4,Lower,Calf Raise,4x10-15
Day 4,Lower,Core (Plank),3x45-60s
